2020-10-18 01:22:20,23.9
2020-10-18 01:22:27,23.9
2020-10-18 01:22:34,24.3
2020-10-18 01:22:41,24.1
2020-10-18 01:22:48,24.0
2020-10-18 01:22:56,24.0
2020-10-18 01:23:03,23.3
2020-10-18 01:23:10,24.1
2020-10-18 01:23:17,24.3
2020-10-18 01:23:24,23.9
2020-10-18 01:23:31,23.9
2020-10-18 01:23:38,24.0
2020-10-18 01:23:45,24.0
2020-10-18 01:23:52,23.9
2020-10-18 01:23:59,24.0
2020-10-18 01:24:06,23.8
2020-10-18 01:24:13,23.4
2020-10-18 01:24:20,23.8
2020-10-18 01:24:27,24.0
2020-10-18 01:24:34,24.3
2020-10-18 01:24:41,24.5
